from_account,to_account,amount,timestamp
ACC019,ACC073,32901.5,2026-03-13 19:25:09.630637
ACC019,ACC004,4678.71,2026-06-11 07:21:22.630642
ACC028,ACC049,21049.64,2026-05-05 11:49:05.630646
ACC021,ACC048,15650.7,2026-05-02 06:51:41.630651
ACC073,ACC077,4339.36,2026-03-10 12:18:09.630656
ACC020,ACC021,37746.35,2026-03-09 23:02:16.630661
ACC011,ACC035,22211.34,2026-05-21 15:10:47.630666
ACC063,ACC078,22158.0,2026-04-22 08:10:39.630671
ACC028,ACC066,5779.49,2026-05-22 18:40:13.630677
ACC015,ACC037,33943.07,2026-06-23 11:20:01.630682
ACC063,ACC068,33389.91,2026-03-09 02:47:16.630687
ACC029,ACC051,49223.84,2026-03-10 22:25:48.630693
ACC001,ACC027,15140.83,2026-04-10 07:32:58.630698
ACC018,ACC033,14543.41,2026-03-23 14:17:43.630702
ACC001,ACC064,37376.0,2026-04-03 09:55:29.630707
ACC017,ACC049,26675.86,2026-04-13 23:31:17.630711
ACC065,ACC072,41684.37,2026-08-03 20:17:34.630716
ACC046,ACC010,19913.85,2026-07-22 09:17:27.630721
ACC006,ACC056,1035.2,2026-08-26 04:03:21.630725
ACC010,ACC041,28830.38,2026-06-19 15:21:50.630730
ACC052,ACC054,14546.81,2026-05-17 22:42:54.630734
ACC003,ACC042,8676.47,2026-06-28 07:48:01.630739
ACC059,ACC047,4497.68,2026-08-11 06:42:36.630744
ACC014,ACC032,21840.26,2026-05-17 01:21:33.630748
ACC068,ACC011,19848.76,2026-04-29 13:06:43.630754
ACC044,ACC029,16720.12,2026-04-01 22:40:58.630759
ACC010,ACC066,31697.91,2026-06-11 07:55:31.630763
ACC066,ACC025,45305.54,2026-05-07 03:20:04.630768
ACC045,ACC019,11889.82,2026-03-28 17:36:26.630772
ACC033,ACC026,8757.6,2026-03-29 23:33:09.630778
ACC010,ACC023,47569.48,2026-06-30 05:34:52.630782
ACC064,ACC060,37746.85,2026-07-25 20:24:43.630787
ACC075,ACC058,34088.56,2026-08-18 13:46:12.630791
ACC073,ACC080,16228.09,2026-06-30 02:10:21.630796
ACC041,ACC020,22044.16,2026-05-30 08:27:30.630800
ACC057,ACC039,39836.85,2026-06-23 03:20:37.630805
ACC008,ACC046,25416.11,2026-04-29 13:43:59.630809
ACC060,ACC058,1976.6,2026-05-10 21:34:10.630818
ACC037,ACC010,32268.86,2026-08-13 09:05:01.630825
ACC012,ACC079,29744.58,2026-05-13 22:56:45.630832
ACC060,ACC075,27760.39,2026-08-01 01:15:58.630836
ACC006,ACC058,45461.59,2026-06-19 07:14:27.630841
ACC025,ACC042,30289.79,2026-06-05 15:40:07.630846
ACC020,ACC008,22581.1,2026-08-04 18:30:25.630850
ACC044,ACC011,25277.0,2026-04-02 19:18:38.630855
ACC006,ACC032,35410.32,2026-05-24 14:58:54.630860
ACC068,ACC067,30529.29,2026-05-09 23:00:54.630864
ACC048,ACC037,19432.09,2026-07-28 16:23:43.630869
ACC044,ACC077,2713.04,2026-06-30 19:16:20.630873
ACC043,ACC009,16551.57,2026-06-16 15:25:29.630878
ACC050,ACC037,12674.59,2026-08-12 15:42:51.630882
ACC078,ACC020,16734.77,2026-06-21 10:53:26.630887
ACC019,ACC045,15580.56,2026-07-05 16:33:51.630892
ACC051,ACC017,29792.56,2026-03-16 17:56:49.630896
ACC040,ACC072,18896.3,2026-08-01 00:32:23.630901
ACC043,ACC017,33538.81,2026-08-08 06:21:23.630906
ACC068,ACC012,32336.64,2026-05-21 12:20:40.630911
ACC066,ACC047,1009.7,2026-04-29 06:32:52.630915
ACC024,ACC028,17152.44,2026-07-27 01:40:28.630920
ACC063,ACC025,11404.5,2026-03-27 00:13:43.630924
ACC020,ACC010,14860.03,2026-07-31 08:02:02.630929
ACC013,ACC065,38566.65,2026-08-09 11:04:05.630933
ACC068,ACC005,33130.27,2026-08-17 11:24:50.630937
ACC080,ACC017,29902.6,2026-03-30 05:59:51.630942
ACC021,ACC024,41584.12,2026-07-28 00:42:14.630946
ACC080,ACC022,36087.03,2026-03-08 18:44:57.630951
ACC053,ACC047,33850.51,2026-04-15 10:05:55.630956
ACC057,ACC079,14317.9,2026-07-23 15:33:38.630960
ACC058,ACC030,26747.16,2026-04-29 09:21:09.630965
ACC061,ACC025,18455.26,2026-06-19 01:28:29.630969
ACC057,ACC060,38494.98,2026-07-29 09:26:55.630974
ACC049,ACC065,26420.24,2026-03-31 18:22:24.630980
ACC026,ACC078,7006.09,2026-04-17 20:13:37.630985
ACC007,ACC062,43718.44,2026-06-15 23:28:29.630990
ACC014,ACC067,42573.19,2026-04-24 15:37:03.630996
ACC011,ACC021,13712.29,2026-08-23 02:09:37.631002
ACC066,ACC019,41569.23,2026-03-18 02:32:38.631007
ACC029,ACC058,44243.03,2026-03-05 11:25:11.631011
ACC054,ACC007,19883.05,2026-05-11 21:54:52.631016
ACC031,ACC050,49726.82,2026-05-12 02:20:50.631021
ACC029,ACC004,16002.38,2026-03-19 12:53:18.631025
ACC043,ACC019,6966.22,2026-04-25 00:04:57.631030
ACC061,ACC018,37966.17,2026-05-30 09:20:21.631034
ACC058,ACC079,362.03,2026-03-15 16:20:47.631039
ACC003,ACC033,10861.17,2026-03-29 07:56:22.631043
ACC071,ACC078,26435.8,2026-03-21 21:17:45.631048
ACC037,ACC031,15127.44,2026-03-09 13:39:22.631052
ACC031,ACC054,31983.69,2026-06-29 05:38:07.631056
ACC059,ACC009,5631.81,2026-08-23 01:25:04.631061
ACC064,ACC077,26849.08,2026-07-01 00:15:04.631065
ACC066,ACC074,12172.71,2026-03-28 04:14:39.631070
ACC038,ACC055,178.06,2026-05-07 19:22:10.631075
ACC031,ACC074,20886.72,2026-07-07 07:19:20.631079
ACC011,ACC068,48735.26,2026-03-13 10:32:10.631083
ACC068,ACC070,25415.65,2026-06-06 20:49:13.631087
ACC071,ACC003,19583.64,2026-05-30 14:06:57.631092
ACC006,ACC050,49053.87,2026-04-18 13:13:25.631096
ACC003,ACC046,39447.15,2026-05-06 06:01:25.631101
ACC031,ACC014,38597.92,2026-07-21 01:20:50.631105
ACC043,ACC018,2312.35,2026-06-14 07:44:10.631110
ACC044,ACC023,41536.14,2026-07-11 05:58:47.631114
ACC060,ACC062,31623.62,2026-08-04 20:58:51.631119
ACC057,ACC005,18169.4,2026-08-14 08:23:16.632140
ACC005,ACC017,14596.91,2026-06-03 15:08:14.632145
ACC017,ACC009,16516.72,2026-05-24 08:27:53.632149
ACC009,ACC031,11489.27,2026-05-10 01:22:13.632152
ACC031,ACC047,17470.86,2026-08-07 21:39:31.632156
ACC047,ACC057,7295.23,2026-07-14 06:48:23.632160
